time,nNFkB
0.0,-1412.6442534023936
1.0,-609.4632703175472
2.0,93.85572937326316
3.0,-197.6104746047462
4.0,-239.41646492821624
5.0,-338.46372248412985
6.0,-1283.2406670290486
7.0,454.8257551967473
8.0,217.5343618092424
9.0,204.36943733822167
10.0,-404.47125646519436
11.0,973.0843689697299
12.0,-238.92846819194384
13.0,468.6798686506379
14.0,436.71479362062536
15.0,1134.1736619127923
16.0,929.2718281405432
17.0,-659.4495466882954
18.0,167.3310649793981
19.0,478.10494719934445
20.0,-235.00310284670417
21.0,994.8697212079196
22.0,513.3058023584699
23.0,329.0715817238539
24.0,1429.7500845783868
25.0,421.5626056379485
26.0,1347.6523742795664
27.0,319.21783991931824
28.0,1265.4312636322127
29.0,978.3806220072466
30.0,1594.58829696273
31.0,894.5370185148391
32.0,1882.5294616364656
33.0,776.5132926369852
34.0,535.9887828773294
35.0,1234.173783212651
36.0,2575.3819756228513
37.0,2210.23527371519
38.0,1285.3500302520883
39.0,2433.9986711137117
40.0,936.7801663498221
41.0,3015.295787092298
42.0,2675.7602007770643
43.0,1651.8940979460258
44.0,2799.888404602587
45.0,4673.984110458809
46.0,2807.9965130844184
47.0,4626.660154095483
48.0,2466.9890282190754
49.0,3937.178511517473
50.0,3039.284085767994
51.0,3838.433521449696
52.0,2691.9353473575115
53.0,4976.958046831596
54.0,5190.880299505678
55.0,5194.249412663184
56.0,6248.6320621606865
57.0,5599.631768627129
58.0,5533.49019216271
59.0,5431.975943528094
60.0,4893.698308601301
61.0,5913.917640434995
62.0,7192.139676567162
63.0,7166.65974409145
64.0,7009.047631592911
65.0,8384.5799056929
66.0,6772.53517223233
67.0,7009.541932616394
68.0,10004.777725042304
69.0,7822.304880662802
70.0,8440.169711363123
71.0,9384.996083142461
72.0,9608.206336312856
73.0,10202.729383912183
74.0,10433.505589131835
75.0,10963.152754285722
76.0,9881.917111185569
77.0,12520.170659389114
78.0,11568.81103617631
79.0,12586.817904474818
80.0,12635.690425729912
81.0,12915.520202750093
82.0,13378.112683311252
83.0,14252.917806060479
84.0,13539.361137090431
85.0,13937.18027661951
86.0,15588.396571160873
87.0,14733.599754450643
88.0,17189.143467093745
89.0,15830.447575722288
90.0,17764.853147126156
91.0,17464.89564748013
92.0,17178.54056432323
93.0,18146.06960026947
94.0,17258.039146525836
95.0,19676.324990856512
96.0,19309.267782913506
97.0,20189.600316591495
98.0,19724.375134686277
99.0,21175.980938232064
100.0,21529.303184623735
101.0,21191.68452998971
102.0,21854.65129699866
103.0,23862.13140090672
104.0,23289.707334632374
105.0,24857.662449007534
106.0,26190.878662681393
107.0,25369.968728181324
108.0,25617.05469371999
109.0,25586.737069893756
110.0,28088.954442495506
111.0,27329.950413704217
112.0,27219.766969608096
113.0,28664.158661025263
114.0,28408.218465418086
115.0,30212.151909784014
116.0,31753.725351771507
117.0,30621.43974681672
118.0,33541.6806952
119.0,32055.298836208087
120.0,33465.1389691719
121.0,34987.53229257899
122.0,36091.600376841656
123.0,36502.229523509915
124.0,36696.681886055725
125.0,37434.080890654965
126.0,36970.67113987259
127.0,38397.59598188383
128.0,39516.731992352594
129.0,39972.17087278438
130.0,39354.59790140067
131.0,42008.0806415943
132.0,42204.81029261995
133.0,42818.292756069495
134.0,43211.26309513629
135.0,43631.43755276285
136.0,45037.34811543637
137.0,45968.16915654942
138.0,47011.343118884244
139.0,47731.49497715179
140.0,48709.907940441684
