time,nNFkB
0.0,7524.732567730133
1.0,4767.891047406353
2.0,6771.75048944884
3.0,-72.81490805906273
4.0,2711.5020678005103
5.0,6822.3319589557095
6.0,6437.035326176403
7.0,2719.639928760936
8.0,-1630.0884404257977
9.0,-4802.36402755811
10.0,-6965.1954033629545
11.0,-6631.818675007206
12.0,-2201.0132581067915
13.0,2954.3760618207257
14.0,-4512.983141496288
15.0,9926.942414167555
16.0,170.55796430107364
17.0,-14580.124778780615
18.0,-3277.823773693101
19.0,-14857.30156219668
20.0,-15181.747458165974
21.0,-8516.132176155445
22.0,-4496.5678008590085
23.0,2969.7935864646333
24.0,-14283.620621197751
25.0,-11191.297928883308
26.0,3159.8768334927904
27.0,-4194.107530938041
28.0,19480.56466666833
29.0,-3792.02125921912
30.0,2974.7243496349465
31.0,48.583703330133176
32.0,3848.4379065974
33.0,-4014.974729541499
34.0,10412.779354715065
35.0,1794.652693106377
36.0,3177.670749264803
37.0,12364.885916867963
38.0,-5439.273537617858
39.0,4301.68943833694
40.0,-826.0554033335325
41.0,-5687.806165868778
42.0,9315.775917610945
43.0,5150.08214290129
44.0,3297.602318376282
45.0,3493.611246702635
46.0,-9826.78495773362
47.0,1292.2645825877653
48.0,3981.2668692843354
49.0,-8975.519118856948
50.0,2623.8949409476354
51.0,-4139.4654160039245
52.0,-1442.6038608489862
53.0,-3220.6117436163477
54.0,6252.924113756445
55.0,12132.241249337612
56.0,11750.376988440272
57.0,23105.642153472305
58.0,20427.189437119065
59.0,3284.8065722241736
60.0,707.9076984336443
61.0,2263.7492132802026
62.0,12086.12678863857
63.0,8096.312416699086
64.0,6666.022232422869
65.0,5882.254201456408
66.0,15672.482971588797
67.0,9047.634343897858
68.0,13248.10629440709
69.0,23561.054327092468
70.0,7319.067706222149
71.0,10704.58790687448
72.0,-141.18460539424632
73.0,-382.19044215192844
74.0,5584.895948633387
75.0,819.9429609408871
76.0,19438.380124859577
77.0,16712.702291649
78.0,20626.934514794993
79.0,5253.384987049805
80.0,-7925.439512325682
81.0,14252.237250708236
82.0,10928.892067605351
83.0,15065.970320139637
84.0,11530.90762123241
85.0,55.47932280486202
86.0,23845.522402597446
87.0,6339.770908457545
88.0,5891.363598622875
89.0,14078.601355365008
90.0,17721.193250144428
91.0,19737.12338717373
92.0,6520.96328350399
93.0,25053.790669033686
94.0,16375.905391592381
95.0,18552.003537272376
96.0,12183.909134759226
97.0,18536.298897279867
98.0,20207.52378969502
99.0,15842.22340619492
100.0,25779.175083237133
101.0,18573.089571695233
102.0,28968.93190513597
103.0,31478.913498446294
104.0,15640.32092010595
105.0,20449.597299891953
106.0,17691.30424911285
107.0,36737.47323978065
108.0,23761.998867162885
109.0,22629.569596218847
110.0,27388.338405336206
111.0,28553.703511366177
112.0,35897.082282110714
113.0,16721.001145721304
114.0,33335.27798746134
115.0,25384.446897100068
116.0,35525.59727961753
117.0,30464.076679304333
118.0,40086.31271959039
119.0,40368.11636160088
120.0,45740.674968526786
121.0,22290.782344549647
122.0,28911.21289490646
123.0,33642.33305187494
124.0,28940.80860380217
125.0,41526.70048517501
126.0,48174.73552496027
127.0,41126.26895109636
128.0,44446.28332290793
129.0,53123.74248394542
130.0,54888.30954717697
131.0,52428.37145598033
132.0,44327.69800920156
133.0,42648.60225531368
134.0,52839.167000480375
135.0,40023.63770317759
136.0,54455.16495881844
137.0,35942.738811321644
138.0,53236.53586901985
139.0,54421.031961991095
140.0,40626.07403289411
141.0,45458.34362905856
142.0,61302.38868636315
143.0,48770.55740634599
144.0,47961.084515280905
145.0,60612.78286645904
146.0,64071.89745904486
147.0,75795.98251011944
148.0,55237.93148401249
149.0,46178.43696028007
150.0,63277.234562308266
151.0,46214.936566218654
152.0,50658.3935733979
153.0,68301.15227367822
154.0,60120.21915731496
155.0,63362.18984893744
156.0,60897.05667063789
157.0,73522.3048006517
158.0,60704.57874369019
159.0,64759.02670343286
160.0,62446.28095774975
161.0,72564.60106068768
162.0,74270.05704112333
163.0,67152.99881396168
164.0,72357.19095060059
165.0,68464.44193852556
166.0,81796.11432155009
167.0,69792.38237376486
168.0,79276.37843194697
169.0,62243.56567501635
170.0,83068.08325664156
171.0,83159.08390358697
172.0,88794.57343287076
173.0,81242.08924624468
174.0,79278.18586799213
175.0,68009.52622617675
176.0,77797.03105478467
177.0,79897.22257094667
178.0,90402.29561564178
179.0,88857.60380650854
180.0,82978.83960233023
181.0,82113.77145744515
182.0,81094.27382591215
183.0,97627.28648537048
184.0,96106.00078185473
185.0,86372.59087196464
186.0,108484.65365997293
187.0,89999.56164091852
188.0,93056.2764785331
189.0,98362.42173316429
190.0,93874.75042031483
191.0,101990.79914377542
192.0,90892.95712322553
193.0,108246.78111445313
194.0,106163.43100085828
195.0,98499.02072117437
196.0,110430.16700820262
197.0,98060.89313151663
198.0,102088.20478733353
199.0,104861.94356258426
200.0,120442.08328634594
201.0,104157.34034431304
202.0,115604.48307635228
203.0,101425.43283228081
204.0,107113.53041438074
205.0,114760.69532851389
206.0,110731.30917362175
207.0,105141.76308961853
208.0,113791.97863799617
209.0,124032.01975541508
210.0,112595.72753474108
211.0,127871.3278674151
212.0,120661.18508982971
213.0,113091.01660808695
214.0,135174.98895688707
215.0,130880.76544851135
216.0,140565.1117559929
217.0,118641.55719746373
218.0,133747.37520461623
219.0,129246.65441635076
220.0,136368.52024004064
221.0,129955.4390482097
222.0,118721.28262820377
223.0,145515.6050623518
224.0,144013.40102525728
225.0,147313.32164267258
226.0,133558.78190937903
227.0,134232.24360684224
228.0,139814.23698147005
229.0,134283.90610432715
230.0,135968.455881701
231.0,148092.46673553158
232.0,145232.78787410934
233.0,148091.25024919567
234.0,135096.65906743443
235.0,155515.86991068767
236.0,151602.55427940033
237.0,151222.14798576472
238.0,151834.1542071248
239.0,156290.52946451705
240.0,149407.61736267692
241.0,152923.6230895143
242.0,149856.5902260225
243.0,167475.79425944603
244.0,168918.6218184587
245.0,158711.1591764101
246.0,165742.7095346672
247.0,165848.7148616142
248.0,162147.76738937112
249.0,167314.85415384718
250.0,170766.28032968217
251.0,173103.0379380457
252.0,172702.8242255027
253.0,173529.17639901958
254.0,169518.7956066311
255.0,171361.0068596632
256.0,187414.83126264217
257.0,183891.3944451149
258.0,180013.5729760497
259.0,198959.27564125962
260.0,181849.92451658414
261.0,175669.33409589212
262.0,187470.4099903279
263.0,199467.53733142672
264.0,194991.26710271524
265.0,198735.25345975716
266.0,191469.76021501407
267.0,193181.12164403521
268.0,187913.32324199312
269.0,185768.73132046463
270.0,207962.420041874
271.0,200216.91504634955
272.0,200205.35207183802
273.0,212220.37929027627
274.0,209122.70326922394
275.0,198695.05882957258
276.0,203766.6733709274
277.0,196882.492211482
278.0,203167.28766978817
279.0,204532.86625620842
280.0,218214.44161178486
281.0,215215.410933861
282.0,227973.01728867381
283.0,223079.32188896535
284.0,210501.88862540014
285.0,213549.20289040642
286.0,222311.85753903617
287.0,225277.7617290932
288.0,226283.97402277956
289.0,234166.77270926588
290.0,224776.68400440435
291.0,228994.84879532707
292.0,215757.06243540178
293.0,224213.34772152337
294.0,227627.53540160172
295.0,230436.95187981593
296.0,223153.02944509475
297.0,234121.28472640595
298.0,250370.33159218708
299.0,227379.171377682
300.0,239782.8252799174
