observableId	simulationConditionId	time	measurement
nNFkB	init_conds	0.0	0.0
nNFkB	init_conds	1.0	0.4121813023472762
nNFkB	init_conds	2.0	1.753202063942776
nNFkB	init_conds	3.0	4.189441460355762
nNFkB	init_conds	4.0	7.885113341956414
nNFkB	init_conds	5.0	13.001214085903536
nNFkB	init_conds	6.0	19.69556137547439
nNFkB	init_conds	7.0	28.122837277123505
nNFkB	init_conds	8.0	38.43463087002524
nNFkB	init_conds	9.0	50.77948041138156
nNFkB	init_conds	10.0	65.30291503948217
nNFkB	init_conds	11.0	82.14749601944469
nNFkB	init_conds	12.0	101.45285753416724
nNFkB	init_conds	13.0	123.35574702404462
nNFkB	init_conds	14.0	147.9900650789575
nNFkB	init_conds	15.0	175.4869048857681
nNFkB	init_conds	16.0	205.9745912347348
nNFkB	init_conds	17.0	239.5787190882624
nNFkB	init_conds	18.0	276.42219171519497
nNFkB	init_conds	19.0	316.6252583941478
nNFkB	init_conds	20.0	360.3055516891231
nNFkB	init_conds	21.0	407.5781243007267
nNFkB	init_conds	22.0	458.55548549641793
nNFkB	init_conds	23.0	513.3476371227141
nNFkB	init_conds	24.0	572.0621092032206
nNFkB	init_conds	25.0	634.8039951277685
nNFkB	init_conds	26.0	701.6759864279843
nNFkB	init_conds	27.0	772.7784071546818
nNFkB	init_conds	28.0	848.2092478501859
nNFkB	init_conds	29.0	928.0641991246712
nNFkB	init_conds	30.0	1012.4366848370212
nNFkB	init_conds	31.0	1101.4178948845456
nNFkB	init_conds	32.0	1195.0968176052031
nNFkB	init_conds	33.0	1293.560271794236
nNFkB	init_conds	34.0	1396.8929383403686
nNFkB	init_conds	35.0	1505.177391483127
nNFkB	init_conds	36.0	1618.4941296955365
nNFkB	init_conds	37.0	1736.9216061956138
nNFkB	init_conds	38.0	1860.536259088764
nNFkB	init_conds	39.0	1989.41254114617
nNFkB	init_conds	40.0	2123.6229492205503
nNFkB	init_conds	41.0	2263.238053303868
nNFkB	init_conds	42.0	2408.326525230003
nNFkB	init_conds	43.0	2558.955167024834
nNFkB	init_conds	44.0	2715.1889389085486
nNFkB	init_conds	45.0	2877.0909869516686
nNFkB	init_conds	46.0	3044.7226703894003
nNFkB	init_conds	47.0	3218.143588597089
nNFkB	init_conds	48.0	3397.4116077295225
nNFkB	init_conds	49.0	3582.582887028575
nNFkB	init_conds	50.0	3773.711904800858
nNFkB	init_conds	51.0	3970.851484069951
nNFkB	init_conds	52.0	4174.052817905788
nNFkB	init_conds	53.0	4383.3654944342015
nNFkB	init_conds	54.0	4598.837521530826
nNFkB	init_conds	55.0	4820.5153512011475
nNFkB	init_conds	56.0	5048.443903651276
nNFkB	init_conds	57.0	5282.666591051756
nNFkB	init_conds	58.0	5523.225340997715
nNFkB	init_conds	59.0	5770.1606196692
nNFkB	init_conds	60.0	6023.51145469365
nNFkB	init_conds	61.0	6283.315457715037
nNFkB	init_conds	62.0	6549.608846671728
nNFkB	init_conds	63.0	6822.426467786678
nNFkB	init_conds	64.0	7101.801817273404
nNFkB	init_conds	65.0	7387.767062759866
nNFkB	init_conds	66.0	7680.353064434732
nNFkB	init_conds	67.0	7979.589395917773
nNFkB	init_conds	68.0	8285.504364858334
nNFkB	init_conds	69.0	8598.125033264905
nNFkB	init_conds	70.0	8917.4772375681
nNFkB	init_conds	71.0	9243.58560842134
nNFkB	init_conds	72.0	9576.47359024093
nNFkB	init_conds	73.0	9916.16346048949
nNFkB	init_conds	74.0	10262.67634870552
nNFkB	init_conds	75.0	10616.03225528156
nNFkB	init_conds	76.0	10976.250069994923
nNFkB	init_conds	77.0	11343.347590292806
nNFkB	init_conds	78.0	11717.341539335588
nNFkB	init_conds	79.0	12098.247583800918
nNFkB	init_conds	80.0	12486.080351451155
nNFkB	init_conds	81.0	12880.853448467877
nNFkB	init_conds	82.0	13282.579476555242
nNFkB	init_conds	83.0	13691.270049815992
nNFkB	init_conds	84.0	14106.935811402394
nNFkB	init_conds	85.0	14529.586449944842
nNFkB	init_conds	86.0	14959.230715761529
nNFkB	init_conds	87.0	15395.876436850976
nNFkB	init_conds	88.0	15839.530534671116
nNFkB	init_conds	89.0	16290.19903970697
nNFkB	init_conds	90.0	16747.88710682979
nNFkB	init_conds	91.0	17212.59903045067
nNFkB	init_conds	92.0	17684.33825947053
nNFkB	init_conds	93.0	18163.107412029975
nNFkB	init_conds	94.0	18648.908290060885
nNFkB	init_conds	95.0	19141.741893642597
nNFkB	init_conds	96.0	19641.608435165497
nNFkB	init_conds	97.0	20148.507353303805
nNFkB	init_conds	98.0	20662.43732680101
nNFkB	init_conds	99.0	21183.39628806947
nNFkB	init_conds	100.0	21711.38143660732
nNFkB	init_conds	101.0	22246.38925223481
nNFkB	init_conds	102.0	22788.415508152295
nNFkB	init_conds	103.0	23337.455283822794
nNFkB	init_conds	104.0	23893.50297768072
nNFkB	init_conds	105.0	24456.552319669667
nNFkB	init_conds	106.0	25026.596383611348
nNFkB	init_conds	107.0	25603.6275994077
nNFkB	init_conds	108.0	26187.63776507896
nNFkB	init_conds	109.0	26778.61805863913
nNFkB	init_conds	110.0	27376.559049811713
nNFkB	init_conds	111.0	27981.450711587488
nNFkB	init_conds	112.0	28593.282431626372
nNFkB	init_conds	113.0	29212.043023505896
nNFkB	init_conds	114.0	29837.720737817675
nNFkB	init_conds	115.0	30470.303273114616
nNFkB	init_conds	116.0	31109.77778671034
nNFkB	init_conds	117.0	31756.13090533294
nNFkB	init_conds	118.0	32409.348735635307
nNFkB	init_conds	119.0	33069.416874563336
nNFkB	init_conds	120.0	33736.3204195846
nNFkB	init_conds	121.0	34410.04397877876
nNFkB	init_conds	122.0	35090.571680791865
nNFkB	init_conds	123.0	35777.887184656436
nNFkB	init_conds	124.0	36471.97368947858
nNFkB	init_conds	125.0	37172.81394399471
nNFkB	init_conds	126.0	37880.39025599877
nNFkB	init_conds	127.0	38594.68450164218
nNFkB	init_conds	128.0	39315.67813460809
nNFkB	init_conds	129.0	40043.352195161264
nNFkB	init_conds	130.0	40777.68731907581
nNFkB	init_conds	131.0	41518.66374644165
nNFkB	init_conds	132.0	42266.261330351816
nNFkB	init_conds	133.0	43020.459545471895
nNFkB	init_conds	134.0	43781.237496493115
nNFkB	init_conds	135.0	44548.57392647072
nNFkB	init_conds	136.0	45322.44722504877
nNFkB	init_conds	137.0	46102.835436573216
nNFkB	init_conds	138.0	46889.71626809436
nNFkB	init_conds	139.0	47683.06709726011
nNFkB	init_conds	140.0	48482.86498010163
nNFkB	init_conds	141.0	49289.08665871236
nNFkB	init_conds	142.0	50101.70856882091
nNFkB	init_conds	143.0	50920.70684726392
nNFkB	init_conds	144.0	51746.057339353254
nNFkB	init_conds	145.0	52577.73560613883
nNFkB	init_conds	146.0	53415.716931577925
nNFkB	init_conds	147.0	54259.97632960157
nNFkB	init_conds	148.0	55110.488551084614
nNFkB	init_conds	149.0	55967.22809071819
nNFkB	init_conds	150.0	56830.16919378762
nNFkB	init_conds	151.0	57699.28586285662
nNFkB	init_conds	152.0	58574.55186435616
nNFkB	init_conds	153.0	59455.94073508402
nNFkB	init_conds	154.0	60343.42578861126
nNFkB	init_conds	155.0	61236.98012159931
nNFkB	init_conds	156.0	62136.57662002932
nNFkB	init_conds	157.0	63042.18796533923
nNFkB	init_conds	158.0	63953.78664047761
nNFkB	init_conds	159.0	64871.34493588026
nNFkB	init_conds	160.0	65794.8349553506
nNFkB	init_conds	161.0	66724.22862184953
nNFkB	init_conds	162.0	67659.49768321076
nNFkB	init_conds	163.0	68600.61371777952
nNFkB	init_conds	164.0	69547.5481399658
nNFkB	init_conds	165.0	70500.27220571684
nNFkB	init_conds	166.0	71458.75701791189
nNFkB	init_conds	167.0	72422.97353165848
nNFkB	init_conds	168.0	73392.89255954497
nNFkB	init_conds	169.0	74368.48477680246
nNFkB	init_conds	170.0	75349.72072637863
nNFkB	init_conds	171.0	76336.57082394898
nNFkB	init_conds	172.0	77329.00536285166
nNFkB	init_conds	173.0	78326.9945189463
nNFkB	init_conds	174.0	79330.50835540163
nNFkB	init_conds	175.0	80339.51682741006
nNFkB	init_conds	176.0	81353.9897868334
nNFkB	init_conds	177.0	82373.8969867742
nNFkB	init_conds	178.0	83399.20808608191
nNFkB	init_conds	179.0	84429.8926537858
nNFkB	init_conds	180.0	85465.92017346334
nNFkB	init_conds	181.0	86507.2600475384
nNFkB	init_conds	182.0	87553.88160151406
nNFkB	init_conds	183.0	88605.75408813969
nNFkB	init_conds	184.0	89662.84669151097
nNFkB	init_conds	185.0	90725.12853110816
nNFkB	init_conds	186.0	91792.56866576691
nNFkB	init_conds	187.0	92865.13609758992
nNFkB	init_conds	188.0	93942.79977579197
nNFkB	init_conds	189.0	95025.52860048694
nNFkB	init_conds	190.0	96113.29142641068
nNFkB	init_conds	191.0	97206.0570665852
nNFkB	init_conds	192.0	98303.79429592284
nNFkB	init_conds	193.0	99406.47185477006
nNFkB	init_conds	194.0	100514.05845239518
nNFkB	init_conds	195.0	101626.52277041528
nNFkB	init_conds	196.0	102743.8334661692
nNFkB	init_conds	197.0	103865.95917603072
nNFkB	init_conds	198.0	104992.86851866916
nNFkB	init_conds	199.0	106124.53009825193
nNFkB	init_conds	200.0	107260.91250759416
nNFkB	init_conds	201.0	108401.9843312542
nNFkB	init_conds	202.0	109547.71414857464
nNFkB	init_conds	203.0	110698.07053667268
nNFkB	init_conds	204.0	111853.02207337572
nNFkB	init_conds	205.0	113012.53734010848
nNFkB	init_conds	206.0	114176.58492472608
