t,x1,x2
0,1.80529587,-0.079118355
2,3.962162414,2.046999265
4,6.108253658,5.061835341
6,6.464356717,5.961105883
8,6.572956885,5.385662741
10,6.656523768,6.084391873
12,6.660816916,6.002561405
14,6.881940848,5.552846115
16,6.769368671,6.066886613
18,7.00435991,5.983687655
20,6.572861034,5.976811468
22,7.068523337,6.027606048
24,6.375605707,5.615375529
26,7.091189369,5.436375833
28,6.755590264,5.605950485
30,6.878471157,5.38812935
32,6.238801512,5.710924714
34,6.447405707,6.080924782
36,7.180978504,5.853262278
38,7.43717518,5.922828549
40,6.745879953,6.065368639
42,7.009524658,5.588059953
44,7.362802693,5.730730847
46,7.360524623,5.913830021
48,6.268890352,6.221312571
50,6.513095007,5.876539126
52,6.70321251,5.19297063
54,7.249075811,6.040551304
56,6.418103027,5.515403054
58,6.740666625,6.148889108
60,7.209681655,5.733257059
62,6.848229927,6.272330128
64,6.963814189,6.038153521
66,6.731764209,5.876156908
68,7.06494989,5.544782972
70,7.107047939,5.590525172
72,6.681190012,5.213655427
74,7.3675873,5.120776608
76,7.00563609,5.330646348
78,6.637691403,5.540989996
80,7.009431109,5.896146085
82,6.667852734,5.89372673
84,6.781903009,5.581455339
86,7.012063836,5.524596714
88,6.515124076,6.193004499
90,6.724737552,5.875309737
92,6.477005679,5.708349931
94,6.622751091,5.695893402
96,7.106292043,5.962857807
98,6.383924561,5.329049885
100,6.661009782,5.892894197
102,6.819891191,5.993296065
104,6.385539419,6.246128481
106,6.906097112,5.642658836
108,6.222819839,5.82464674
110,6.888349203,6.060510842
112,6.95618642,6.317190743
114,6.44741409,5.405434614
116,6.682861474,5.304242344
118,7.00671941,5.686753282
120,6.745487653,5.810400652
122,6.271152259,5.960090696
124,6.840646368,5.888793787
126,6.913318178,5.653437612
128,6.847495491,6.057866132
130,6.958456144,5.870658069
132,6.955285234,5.716546056
134,7.218285614,5.860067204
136,6.513489154,6.209614415
138,6.292503608,5.978166103
140,7.073240049,5.709319629
142,6.729964562,5.291436667
144,6.464057441,5.748358825
146,7.161976987,5.881956447
148,6.676178038,5.698169472
150,7.098046271,5.967781099
152,6.941591823,5.491993542
154,7.264144618,5.720704583
156,6.962510647,5.988107132
158,7.022174561,5.335374784
160,6.641323902,5.968496892
162,6.649856195,5.862059302
164,7.311824231,6.277390447
166,6.723727711,5.652476448
168,6.87767737,5.312747517
170,6.337453999,6.050739169
172,7.002836791,6.154735779
174,6.789755326,6.055428165
176,6.958284715,6.317335313
178,6.754894413,5.415929111
180,6.502798008,5.512823959
182,7.332667581,5.971682493
184,6.881350707,6.195080205
186,6.206995237,6.539646797
188,6.891753925,5.862802889
190,6.653572778,5.912147913
192,6.833877778,6.054051072
194,7.276860523,5.75035004
196,6.700988105,5.820629163
198,7.334300071,5.857444279
200,6.93807409,5.871670034
