t,x1,x2,x3
0,0.513239676,0.648940421,1.853856089
2,10.42040775,4.234598662,7.299157776
4,-0.391910386,4.197373186,1.978594504
6,-0.441486546,1.425230443,0.688027701
8,10.96895382,1.642357882,4.607410131
10,-0.193831862,5.45861172,3.170061791
12,-0.329435741,1.861082559,-0.112530927
14,3.649985315,0.443116791,1.208876264
16,1.974326712,6.304992333,6.37253989
18,0.473968084,3.091780293,2.305307181
20,-0.266407234,0.900598952,0.656726986
22,14.98887368,2.842777017,5.991854657
24,-1.037701618,4.946735475,2.770339955
26,0.704704826,1.116184026,0.198469199
28,2.20914148,0.31889149,-0.031571399
30,3.582979264,5.55490962,8.555296719
32,-1.449162155,3.194798833,1.134842547
34,-0.77930373,1.096921455,0.76153407
36,12.25746816,1.514840204,4.265575091
38,1.735904909,6.020584857,4.551305211
40,-0.17849997,2.213892272,0.742129589
42,1.381367313,0.264707888,1.483284581
44,11.54136739,4.572242084,9.055444375
46,1.364923968,4.315239994,2.005811605
48,-1.323622984,1.536156371,0.757714487
50,4.470975746,0.785150666,1.517024634
52,0.646034634,5.725747113,6.225393686
54,1.073212742,2.876504928,1.024097044
56,-0.690051991,0.312414678,-1.021343485
58,14.65680883,2.936691442,6.827770079
60,1.036567611,5.168383685,2.981415672
62,0.087447667,2.030294511,1.106735312
64,2.239898802,0.733963341,0.45956031
66,4.415611897,5.888611199,9.386713404
68,0.615754815,3.235535996,1.550111279
70,0.826984869,0.634689488,-0.040087322
72,8.998623487,0.517523195,3.619890615
74,1.672754862,5.395096194,4.806044186
76,0.467335247,1.624999075,0.509528213
78,0.181974972,0.238373904,0.259208842
80,13.31865446,4.061176622,8.956269355
82,-0.357895299,4.641468132,2.906192252
84,-0.058196206,0.983781003,0.208736754
86,4.231799634,0.289454713,1.515587371
88,0.893912906,6.75292333,7.180579487
90,-0.23778978,2.98224256,1.371933838
92,-0.638812682,0.588153169,0.323725903
94,13.2009097,1.851767664,5.573171469
96,0.821265437,5.754357716,3.17554228
98,-1.079719162,1.210784958,0.659456253
100,0.899970286,0.570799565,0.634473565
102,7.245257654,5.493707394,9.237094804
104,-1.07898469,4.327499181,2.178524311
106,0.291074661,0.79983064,0.724733213
108,5.545991884,0.900108881,2.391944355
110,0.713351612,6.579088834,5.310267636
112,0.341755496,2.924321616,1.023201532
114,-0.491640896,0.139915964,0.199244904
116,14.28304293,2.676025674,7.725435648
118,0.505266345,4.789985636,2.609170525
120,-0.161471622,1.382258228,0.239242128
122,1.248903057,0.682313034,0.71793516
124,2.957002782,6.229821435,8.120874101
126,0.234661579,3.055040101,1.184827096
128,0.220554456,1.045554271,0.842555192
130,11.89927596,1.552059082,4.463296279
132,0.520762853,5.800067911,3.825126651
134,1.001715569,1.985066529,0.567032826
136,0.126183283,0.923061895,0.216164866
138,8.988607362,4.815899143,9.257140556
140,0.646579089,4.114061279,2.909433307
142,-0.172826371,0.549523547,1.08406112
144,4.220079187,0.635628561,1.873195222
146,1.833414248,6.465436138,6.230341065
148,-0.359191847,2.533003346,0.652728077
150,0.999169976,0.799780719,0.760912762
152,15.11430867,2.176302329,6.681857228
154,1.175647446,5.18801589,3.361628469
156,0.372382627,1.743583275,0.491017305
158,2.319207518,-0.017891794,0.744369999
160,4.412352662,5.944095837,8.677244983
162,-0.421712913,3.606885003,1.558091287
164,1.33499239,1.377416109,0.288076736
166,8.863538787,0.954235667,3.004223731
168,0.465774661,5.622027466,4.558499441
170,-1.20337296,2.41679029,-0.140010912
172,1.071358482,0.896956054,0.079975217
174,13.01014581,4.154761539,8.246915856
176,0.369451531,5.130540888,2.549512389
178,-0.127154156,0.821986256,0.001180954
180,2.827429632,0.267584489,1.842848571
182,3.03696273,6.504303043,7.413021613
184,0.153792904,3.353634817,1.39916415
186,-1.32177535,1.482823514,0.289793338
188,13.68954744,1.974952994,4.796931005
190,-0.304608032,5.733374605,3.532988469
192,0.044633523,2.004231494,0.30160951
194,2.391442685,0.419278784,-0.118322132
196,7.246622743,5.248185852,9.282692608
198,1.293423977,3.948668862,1.555344332
200,0.368238645,1.056017343,0.886802908
